mutation_rate,iterations_number,population_size, number_of_cities,average_solution_distance
0.6000000000000001,100,200,10,0.1469648194675929
0.6000000000000001,100,200,100,0.00985480453725042
0.6000000000000001,100,200,200,0.004530760557804732
0.6000000000000001,200,10,10,0.11507433079140497
0.6000000000000001,200,10,100,0.009295244833091267
0.6000000000000001,200,10,200,0.004285497061537942
0.6000000000000001,200,100,10,0.13608737680339233
0.6000000000000001,200,100,100,0.00974610045315855
0.6000000000000001,200,100,200,0.00453608676874499
0.6000000000000001,200,200,10,0.13707243319599519
0.6000000000000001,200,200,100,0.009770355780503108
0.6000000000000001,200,200,200,0.004613156030410477
0.7000000000000001,10,10,10,0.10058361077099483
0.7000000000000001,10,10,100,0.00894725218428634
0.7000000000000001,10,10,200,0.00422996096022355
0.7000000000000001,10,100,10,0.11189830498621596
0.7000000000000001,10,100,100,0.009304837581207797
0.7000000000000001,10,100,200,0.004425475383188446
0.7000000000000001,10,200,10,0.11619821053137411
0.7000000000000001,10,200,100,0.009384840122604276
0.7000000000000001,10,200,200,0.004387428932985014
0.7000000000000001,100,10,10,0.11186304711674074
0.7000000000000001,100,10,100,0.009067149175216225
0.7000000000000001,100,10,200,0.004319409567825741
0.7000000000000001,100,100,10,0.14201862633179402
0.7000000000000001,100,100,100,0.009543902502927594
0.7000000000000001,100,100,200,0.004506767786835719
0.7000000000000001,100,200,10,0.1469648194675929
0.7000000000000001,100,200,100,0.009660715026011785
0.7000000000000001,100,200,200,0.004531465159565121
0.7000000000000001,200,10,10,0.11631087379622966
0.7000000000000001,200,10,100,0.009346805399483883
0.7000000000000001,200,10,200,0.004399846930684301
0.7000000000000001,200,100,10,0.15191101260339174
0.7000000000000001,200,100,100,0.009875080292119944
0.7000000000000001,200,100,200,0.004564315408029326
0.7000000000000001,200,200,10,0.13905300156759318
0.7000000000000001,200,200,100,0.00977816717376544
0.7000000000000001,200,200,200,0.00458114752073487
0.8,10,10,10,0.10141620936371801
0.8,10,10,100,0.008603391452297146
0.8,10,10,200,0.004257239166507489
0.8,10,100,10,0.12491638615462868
0.8,10,100,100,0.009213198885360646
0.8,10,100,200,0.004392760851336362
0.8,10,200,10,0.11770613187584564
0.8,10,200,100,0.009350918783460064
0.8,10,200,200,0.004442099110079777
0.8,100,10,10,0.11265192281032506
0.8,100,10,100,0.009127444232015489
0.8,100,10,200,0.004365057612250675
0.8,100,100,10,0.12749725519886254
0.8,100,100,100,0.009558721822228985
0.8,100,100,200,0.004491964972841827
0.8,100,200,10,0.14201862633179402
0.8,100,200,100,0.00961049306530124
0.8,100,200,200,0.004564551338080947
0.8,200,10,10,0.12192104048729302
0.8,200,10,100,0.009412012356162121
0.8,200,10,200,0.004418868007391797
0.8,200,100,10,0.1410335699391912
0.8,200,100,100,0.00981591290758128
0.8,200,100,200,0.004539714149670004
0.8,200,200,10,0.14201862633179402
0.8,200,200,100,0.009766888929692566
0.8,200,200,200,0.004555170285468873
0.9,10,10,10,0.10372599713833222
0.9,10,10,100,0.008976126620253974
0.9,10,10,200,0.004248244595893276
0.9,10,100,10,0.11796410947575078
0.9,10,100,100,0.00917657328556251
0.9,10,100,200,0.00443345321136787
0.9,10,200,10,0.12856031462335965
0.9,10,200,100,0.009283689365806373
0.9,10,200,200,0.004441922210363605
0.9,100,10,10,0.11051597771435857
0.9,100,10,100,0.009091662776393932
0.9,100,10,200,0.004350145804971488
0.9,100,100,10,0.13905300156759318
0.9,100,100,100,0.00988051613630334
0.9,100,100,200,0.004535807925184818
0.9,100,200,10,0.1390530015675932
0.9,100,200,100,0.009754126987862868
0.9,100,200,200,0.004549688252504409
0.9,200,10,10,0.12226019233955807
0.9,200,10,100,0.009381744534185183
0.9,200,10,200,0.004434059318478559
0.9,200,100,10,0.13707243319599519
0.9,200,100,100,0.009662266706881063
0.9,200,100,200,0.004564049849941186
0.9,200,200,10,0.15191101260339174
0.9,200,200,100,0.00991882401061588
0.9,200,200,200,0.004596258586236598
